ppm,Temperature,pH,Adjusted pH,EC
1307,24.94,5.8,5.776186038,2.62
1286,25.56,5.8,5.788529922,2.57
1307,24.94,5.8,5.778149057,2.62
1289,25.69,5.8,5.777415037,2.58
1299,25.06,5.8,5.779083881,2.6
1285,25.62,5.8,5.756832605,2.57
1288,25.5,5.8,5.822039319,2.58
1285,25.62,5.8,5.825327465,2.57
1288,25.5,5.8,5.846278087,2.58
1299,25.06,5.8,5.819607048,2.6
1300,25,5.8,5.802724183,2.6
1292,25.56,5.8,5.866641577,2.58
1289,25.44,5.8,5.792163658,2.58
1288,25.5,5.8,5.705775057,2.58
1289,25.44,5.8,5.765987852,2.58
1263,25.62,5.8,5.764936301,2.53
1277,25.5,5.8,5.801861423,2.55
1291,24.94,5.8,5.801258016,2.58
1277,25.5,5.8,5.849186185,2.55
1277,25.5,5.8,5.906964679,2.55
1278,25.44,5.8,5.816539986,2.56
1280,25.37,5.8,5.767518736,2.56
1278,25.44,5.8,5.782594299,2.56
1273,25.44,5.8,5.817846838,2.55
1273,25.44,5.8,5.812293287,2.55
1273,25.44,5.8,5.849982683,2.55
1272,25.5,5.8,5.797432658,2.54
1278,25.44,5.8,5.843621943,2.56
1287,24.87,5.8,5.759763774,2.57
1276,25.31,5.8,5.787369196,2.55
